step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Toluca,Mexico,19.2826,-99.6557,455.538
2,Cuernavaca,Morelos,18.9242,-99.2216,862.722
3,Puebla,Puebla,19.0413,-98.2062,1573.697
4,Tlaxcala,Tlaxcala,19.3139,-98.2404,1784.64
5,Pachuca,Hidalgo,20.1011,-98.7591,2610.613
6,Santiago de Queretaro,Queretaro,20.5888,-100.3899,3987.184
7,Guanajuato,Guanajuato,21.019,-101.2574,4672.088
8,Aguascalientes,Aguascalientes,21.8853,-102.2916,5772.996
9,Zacatecas,Zacatecas,22.7709,-102.5832,6530.113
10,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,7692.215
11,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,9469.922
12,Monterrey,Nuevo Leon,25.6866,-100.3161,11233.712
13,Saltillo,Coahuila,25.4267,-100.9954,11804.775
14,Durango,Durango,24.0277,-104.6532,14690.895
15,Culiacan,Sinaloa,24.8091,-107.394,17035.845
16,La Paz,Baja California Sur,24.1426,-110.3128,19260.151
17,Hermosillo,Sonora,29.0729,-110.9559,23446.137
18,Mexicali,Baja California,32.6245,-115.4523,27531.287
19,Chihuahua,Chihuahua,28.6329,-106.0691,34616.845
20,Tepic,Nayarit,21.5042,-104.8946,39866.087
21,Guadalajara,Jalisco,20.6597,-103.3496,41195.017
22,Colima,Colima,19.2433,-103.725,42297.049
23,Morelia,Michoacan,19.705,-101.194,44258.198
24,Chilpancingo,Guerrero,17.5515,-99.5006,46270.97
25,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,48348.314
26,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,51258.06
27,San Francisco de Campeche,Campeche,19.845,-90.5239,54519.541
28,Merida,Yucatan,20.9674,-89.5926,55633.022
29,Chetumal,Quintana Roo,18.5002,-88.2961,57874.218
30,Villahermosa,Tabasco,17.9895,-92.9475,61396.917
31,Xalapa,Veracruz,19.5438,-96.9102,64628.452
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,66286.265
