step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Toluca,Mexico,19.2826,-99.6557,353.298
2,Cuernavaca,Morelos,18.9242,-99.2216,674.802
3,Puebla,Puebla,19.0413,-98.2062,1229.297
4,Tlaxcala,Tlaxcala,19.3139,-98.2404,1394.56
5,Xalapa,Veracruz,19.5438,-96.9102,2228.915
6,Pachuca,Hidalgo,20.1011,-98.7591,3486.741
7,Santiago de Queretaro,Queretaro,20.5888,-100.3899,4551.152
8,Guanajuato,Guanajuato,21.019,-101.2574,5086.696
9,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,5881.93
10,Aguascalientes,Aguascalientes,21.8853,-102.2916,6758.12
11,Zacatecas,Zacatecas,22.7709,-102.5832,7347.478
12,Durango,Durango,24.0277,-104.6532,8739.382
13,Culiacan,Sinaloa,24.8091,-107.394,10562.732
14,La Paz,Baja California Sur,24.1426,-110.3128,12303.918
15,Hermosillo,Sonora,29.0729,-110.9559,15565.824
16,Mexicali,Baja California,32.6245,-115.4523,18742.654
17,Chihuahua,Chihuahua,28.6329,-106.0691,24240.212
18,Saltillo,Coahuila,25.4267,-100.9954,27840.352
19,Monterrey,Nuevo Leon,25.6866,-100.3161,28272.73
20,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,29628.79
21,Tepic,Nayarit,21.5042,-104.8946,33287.957
22,Guadalajara,Jalisco,20.6597,-103.3496,34331.528
23,Colima,Colima,19.2433,-103.725,35193.0
24,Morelia,Michoacan,19.705,-101.194,36721.508
25,Chilpancingo,Guerrero,17.5515,-99.5006,38277.721
26,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,39903.465
27,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,42173.611
28,Villahermosa,Tabasco,17.9895,-92.9475,42956.799
29,San Francisco de Campeche,Campeche,19.845,-90.5239,44807.993
30,Chetumal,Quintana Roo,18.5002,-88.2961,46343.433
31,Merida,Yucatan,20.9674,-89.5926,48172.575
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,53568.271
