step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Aguascalientes,Aguascalientes,21.8853,-102.2916,2424.738
2,Culiacan,Sinaloa,24.8091,-107.394,5834.844
3,Hermosillo,Sonora,29.0729,-110.9559,9358.542
4,Mexicali,Baja California,32.6245,-115.4523,12576.2
5,Villahermosa,Tabasco,17.9895,-92.9475,29487.623
6,Chetumal,Quintana Roo,18.5002,-88.2961,32291.303
7,Merida,Yucatan,20.9674,-89.5926,34142.666
8,San Francisco de Campeche,Campeche,19.845,-90.5239,35038.679
9,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,37622.13
10,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,39902.605
11,Puebla,Puebla,19.0413,-98.2062,41566.201
12,Morelia,Michoacan,19.705,-101.194,43594.721
13,Santiago de Queretaro,Queretaro,20.5888,-100.3899,44343.172
14,Chilpancingo,Guerrero,17.5515,-99.5006,46338.328
15,Toluca,Mexico,19.2826,-99.6557,47381.204
16,Guanajuato,Guanajuato,21.019,-101.2574,48747.52
17,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,49552.918
18,Cuernavaca,Morelos,18.9242,-99.2216,51803.159
19,Xalapa,Veracruz,19.5438,-96.9102,53250.773
20,Tlaxcala,Tlaxcala,19.3139,-98.2404,54155.427
21,Pachuca,Hidalgo,20.1011,-98.7591,54803.785
22,Monterrey,Nuevo Leon,25.6866,-100.3161,58266.521
23,Saltillo,Coahuila,25.4267,-100.9954,58711.023
24,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,60107.351
25,Guadalajara,Jalisco,20.6597,-103.3496,63293.724
26,Zacatecas,Zacatecas,22.7709,-102.5832,64764.797
27,Durango,Durango,24.0277,-104.6532,66173.941
28,La Paz,Baja California Sur,24.1426,-110.3128,69530.329
29,Chihuahua,Chihuahua,28.6329,-106.0691,73214.968
30,Tepic,Nayarit,21.5042,-104.8946,77364.36
31,Colima,Colima,19.2433,-103.725,78971.35
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,81584.533
