experimento,promedio,mediana,std,minimo,maximo,iqr,coef_variacion,tasa_exito,tiempo_total_s,tiempo_medio_s,mejor_solucion
GD  Rastrigin 2D,17.51116092,18.90413873,8.53802769,3.97983119,28.85355413,14.67542544,0.48757634,0.00000000,0.00612030,0.00061203,0.00000000|-1.98991223
GD  Rastrigin 3D,27.36118519,27.85865864,12.26048423,4.97479025,49.74744587,14.92427066,0.44809770,0.00000000,0.00593946,0.00059395,0.00000000|-1.98991223|-0.99495864
GD  Rosenbrock 2D,1.06982797,0.63178355,1.39938210,0.00418575,4.80546649,0.72763873,1.30804404,0.10000000,0.00587230,0.00058723,1.06464949|1.13372737
GD  Rosenbrock 3D,1.30809082,1.31898170,1.11611960,0.00578053,3.95956482,1.23987249,0.85324320,0.10000000,0.00757798,0.00075780,0.96561643|0.93228519|0.86881932
DE  Rastrigin 2D,0.00000049,0.00000000,0.00000140,0.00000000,0.00000468,0.00000001,2.86121263,1.00000000,0.93476037,0.09347604,-0.00000003|-0.00000000
DE  Rastrigin 3D,1.27153641,1.12928501,0.78491522,0.27131886,3.21078548,0.37114985,0.61729669,0.00000000,0.93889243,0.09388924,-0.00104478|0.02474516|-0.02751865
DE  Rosenbrock 2D,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.08778446,1.00000000,0.96906942,0.09690694,1.00000000|1.00000000
DE  Rosenbrock 3D,0.00000164,0.00000026,0.00000338,0.00000001,0.00001140,0.00000061,2.06252037,1.00000000,0.97053119,0.09705312,1.00003409|1.00006584|1.00013662
EA  Rastrigin 2D,0.00014629,0.00000002,0.00034672,0.00000000,0.00117164,0.00009183,2.37009007,1.00000000,2.34889918,0.23488992,-0.00000000|-0.00000000
EA  Rastrigin 3D,0.00038828,0.00012676,0.00073110,0.00000193,0.00253033,0.00033734,1.88292419,1.00000000,2.37145999,0.23714600,0.00000002|-0.00009846|0.00000321
EA  Rosenbrock 2D,0.05589681,0.00217715,0.07716932,0.00000010,0.20485915,0.07829508,1.38056755,0.60000000,2.39499744,0.23949974,1.00031434|1.00062875
EA  Rosenbrock 3D,0.48835870,0.54226635,0.33901924,0.00194573,0.92979507,0.60149281,0.69420128,0.20000000,2.42612553,0.24261255,1.01953351|1.03953722|1.08068194
PSO Rastrigin 2D,0.00000001,0.00000000,0.00000003,0.00000000,0.00000012,0.00000000,2.75105634,1.00000000,0.26800565,0.02680056,-0.00000005|-0.00000007
PSO Rastrigin 3D,0.30109368,0.00082463,0.45429683,0.00000000,0.99496106,0.75228374,1.50882222,0.60000000,0.27079883,0.02707988,-0.00000080|0.00000192|0.00000424
PSO Rosenbrock 2D,0.00000181,0.00000103,0.00000200,0.00000000,0.00000599,0.00000174,1.10557129,1.00000000,0.30779013,0.03077901,0.99998607|0.99997143
PSO Rosenbrock 3D,0.05856231,0.06977773,0.04227869,0.00000009,0.11797217,0.06414971,0.72194364,0.30000000,0.30846933,0.03084693,0.99986498|0.99973405|0.99947096
